SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,7,1,1,0,1,0,0,1,1,1,99.8000030517578,673.25,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,5,1,0,0,1,0,0,0,0,1,74.65,383.65,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,63,1,1,0,0,0,0,0,0,0,24.64999961853028,1574.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,1,1,22,1,0,0,0,0,0,0,1,1,80.1500015258789,1790.6500244140625,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,1,1,0,0,0,0,0,0,0,0,45.59999847412109,45.59999847412109,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,13,1,0,0,0,0,0,1,0,1,81.9,1028.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,4,1,1,0,1,0,0,0,0,0,78.44999694824219,330.04998779296875,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,25,1,0,0,0,0,1,1,1,1,95.1500015258789,2395.699951171875,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,64,1,1,0,0,0,0,0,0,0,24.700000762939453,1642.75,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0,0,0,1,1,0,0,0,0,0,0,0,1,69.5,69.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,18,1,1,0,0,0,0,0,0,1,50.3,913.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,60,1,0,1,1,1,1,0,0,1,65.8499984741211,3928.300048828125,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1,1,11,1,0,0,0,0,0,0,0,1,20.450000762939453,250.8000030517578,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,0,0,1,1,0,0,0,0,0,0,0,1,19.4,19.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,0,34,1,0,0,0,0,0,0,0,1,70.0,2416.10009765625,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0,0,1,1,0,0,0,0,0,0,1,1,80.8,80.8,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,14,1,0,0,0,0,0,0,0,0,19.600000381469727,300.3999938964844,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,0,0,38,1,0,0,1,1,1,0,0,1,84.25,3264.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,0,61,1,1,1,1,1,1,0,1,1,80.8,4860.85,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,24,1,0,0,1,1,1,0,0,1,85.94999694824219,2107.14990234375,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,1,1,0,0,0,0,0,0,0,0,20.55,20.55,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1,0,47,1,1,0,1,1,0,0,0,1,83.3499984741211,4065.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,49,1,1,0,1,0,1,1,1,0,79.3,3902.45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,2,1,0,0,0,0,1,1,1,0,70.30000305175781,132.39999389648438,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,2,1,0,0,0,0,0,0,0,1,20.0,40.900001525878906,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,0,72,1,1,1,0,1,1,1,1,0,84.3,5997.1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1,1,69,1,0,0,0,0,0,0,0,0,19.75,1375.4000244140625,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0,1,1,17,1,1,0,0,0,0,0,1,1,85.45,1451.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,62,1,0,1,1,0,0,0,0,1,81.45,4983.05,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
0,1,1,13,1,0,1,0,1,0,0,1,1,63.150001525878906,816.7999877929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,1,1,0,0,0,0,0,0,0,1,70.1,70.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,49,1,0,0,1,0,0,1,0,1,85.3,4297.95,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,1,1,37,1,1,0,1,1,0,1,0,1,92.9499969482422,3415.25,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,64,1,1,0,1,1,1,1,1,1,111.4499969482422,7266.9501953125,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0,0,1,1,1,0,0,1,0,1,1,1,101.45,101.45,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,1,1,0,0,0,0,0,0,0,0,70.0999984741211,70.0999984741211,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,5,1,0,0,0,0,0,0,0,0,19.35,126.05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1,0,72,1,1,0,1,1,1,1,1,1,85.45,6227.5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1,1,13,1,0,0,0,1,0,1,1,0,97.0,1334.45,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,24,1,0,0,0,0,0,0,0,0,20.39999961853028,482.7999877929688,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0,1,1,6,1,0,0,0,0,0,0,0,1,69.8,377.85,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,72,1,1,1,1,1,1,1,1,1,116.4499969482422,8013.5498046875,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0,4,1,1,1,0,0,0,1,0,0,90.65,367.95,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,50,1,1,1,1,0,0,0,0,1,83.4,4113.7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,38,1,0,0,0,0,0,1,1,1,89.1,3342.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0,1,0,6,1,0,0,1,1,0,0,1,1,91.0,531.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,1,63,1,0,0,0,0,0,0,0,0,19.5,1215.0999755859375,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,0,0,1,1,0,0,0,0,0,0,0,1,69.9000015258789,69.9000015258789,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0,0,4,1,1,0,1,0,0,0,0,1,80.30000305175781,324.20001220703125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,5,1,0,0,0,0,0,0,0,0,20.25,109.8000030517578,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,0,71,0,0,1,1,1,1,1,0,0,53.95000076293945,3888.64990234375,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,1,1,55,1,0,0,0,0,0,0,0,1,69.05000305175781,3842.60009765625,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1,1,1,1,0,0,0,0,0,0,0,0,18.799999237060547,18.799999237060547,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0,0,0,4,1,1,0,0,0,0,0,0,1,25.299999237060547,116.9499969482422,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1,1,0,20,1,1,0,0,1,0,1,0,0,90.8,1951.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,1,1,0,0,0,0,0,0,0,1,69.75,69.75,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,34,1,0,0,0,0,0,0,0,0,20.05,679.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
0,1,0,13,1,1,1,0,0,0,0,1,1,65.85,902.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0,0,1,1,0,0,0,0,0,0,0,0,20.05,20.05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,0,0,4,1,0,0,0,0,0,0,0,1,70.9000015258789,273.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,4,1,0,0,0,0,0,0,0,0,44.8,169.65,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,48,0,0,1,1,0,1,0,0,0,39.4,1978.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,0,0,37,1,0,0,0,0,0,0,0,1,70.3499984741211,2552.89990234375,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0,15,1,1,0,1,0,1,0,1,0,95.7,1451.1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,65,1,1,1,1,1,0,0,0,0,89.75,5769.6,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
0,1,0,8,1,0,1,0,0,0,0,0,1,74.5,609.9,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,0,14,1,1,0,1,1,0,0,0,1,82.6500015258789,1185.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,1,41,1,1,0,1,1,0,1,0,0,68.5,2839.949951171875,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
