iter	Logloss
0	0.6728460059
1	0.6534073993
2	0.6350041119
3	0.6213335592
4	0.6118178599
5	0.6020917029
6	0.5901047839
7	0.580731165
8	0.5701093944
9	0.5611833693
10	0.5530892723
11	0.5441398768
12	0.5363278029
13	0.5290299218
14	0.5220665619
15	0.5141108606
16	0.5071924519
17	0.4997345939
18	0.4955614635
19	0.4907013007
20	0.4858195982
21	0.4807881242
22	0.4759113055
23	0.4703376851
24	0.4661156117
25	0.4621607885
26	0.4581583681
27	0.4552104574
28	0.4515384205
29	0.4489313433
30	0.4457188351
31	0.4423421341
32	0.4396842344
33	0.4366361779
34	0.4335361117
35	0.4312029224
36	0.4287532433
37	0.4269709156
38	0.4250665906
39	0.4218043536
40	0.4199604952
41	0.4178366622
42	0.4159725452
43	0.414229082
44	0.4122354808
45	0.4106560055
46	0.4089970417
47	0.4072224987
48	0.4056604236
49	0.4041259625
50	0.4026518534
51	0.401321101
52	0.3999364725
53	0.3986617309
54	0.3971395518
55	0.3959098003
56	0.3939143853
57	0.3926910881
58	0.3913921392
59	0.3903970345
60	0.388603068
61	0.3875535855
62	0.3860663483
63	0.3850241983
64	0.3840867001
65	0.3821344218
66	0.3810054777
67	0.3801292463
68	0.3790712938
69	0.3783924167
70	0.3776748559
71	0.3768463216
72	0.3757633695
73	0.374822108
74	0.3734552289
75	0.3723086319
76	0.3714004406
77	0.3707078999
78	0.3699516739
79	0.369425637
80	0.3688445029
81	0.3682249167
82	0.3675379696
83	0.3665995553
84	0.3659027157
85	0.3653777705
86	0.3648595995
87	0.363806503
88	0.363340347
89	0.3629026186
90	0.3623369508
91	0.3614761005
92	0.3609802108
93	0.3605774342
94	0.3598441547
95	0.3592362341
96	0.3586288624
97	0.3580913081
98	0.3574367458
99	0.3570807356
100	0.3560022144
101	0.3555341066
102	0.3550309094
103	0.3546542482
104	0.3543294441
105	0.3539229463
106	0.3531284416
107	0.3527163456
108	0.352301491
109	0.3514897463
110	0.3510423419
111	0.3502380501
112	0.3497417608
113	0.3494193026
114	0.3490844901
115	0.3485756224
116	0.3483618101
117	0.3479670936
118	0.3475453375
119	0.3471325479
120	0.3468101914
121	0.3464817388
122	0.3460233769
123	0.3457417799
124	0.3449583898
125	0.344564934
126	0.3443006677
127	0.3439732528
128	0.3434549927
129	0.3431656861
130	0.3428963947
131	0.3424680498
132	0.3421975349
133	0.3418762535
134	0.3415844188
135	0.3412585188
136	0.3408656657
137	0.3405866266
138	0.340209678
139	0.3397593367
140	0.3394118789
141	0.3391505601
142	0.3389441813
143	0.3386402251
144	0.3381903384
145	0.3375967389
146	0.3373979569
147	0.3371516681
148	0.3368765601
149	0.3366784591
150	0.3364174458
151	0.3360700573
152	0.3357932616
153	0.3353682372
154	0.3351600175
155	0.3348336971
156	0.3345507048
157	0.3342830199
158	0.3340210531
159	0.3337262607
160	0.333296871
161	0.3331249078
162	0.3329354985
163	0.332624241
164	0.3321994827
165	0.3320678021
166	0.3317725327
167	0.331584392
168	0.3312324809
169	0.3310245464
170	0.3308754292
171	0.3307063415
172	0.3303519314
173	0.3302167493
174	0.3298673043
175	0.329615075
176	0.3292402935
177	0.329015033
178	0.3287969458
179	0.3284168752
180	0.3282008744
181	0.3279948346
182	0.3277986923
183	0.327549863
184	0.3274072738
185	0.3271738576
186	0.3270429143
187	0.3267583926
188	0.3265407788
189	0.3263902141
190	0.3261585158
191	0.3259666012
192	0.3257256575
193	0.3251113038
194	0.3247774427
195	0.3247595909
196	0.324582294
197	0.3244728676
198	0.3242357845
199	0.3238499399
200	0.3236881949
201	0.3234427731
202	0.3232510572
203	0.3230188891
204	0.3228762742
205	0.3224959518
206	0.3224588087
207	0.3220928756
208	0.3217621727
209	0.3216285515
210	0.3213971593
211	0.3212061339
212	0.3210163343
213	0.3208646148
214	0.3207253271
215	0.3206308228
216	0.3204425119
217	0.3201833553
218	0.3201279469
219	0.3199144955
220	0.3197682791
221	0.319549175
222	0.3194351335
223	0.319239594
224	0.3191259163
225	0.3189620494
226	0.3187909712
227	0.3186486791
228	0.318376239
229	0.3182877486
230	0.3180174162
231	0.3178120484
232	0.3175475958
233	0.3173420004
234	0.317167218
235	0.317026434
236	0.3168011831
237	0.3166382259
238	0.3164617351
239	0.3163651677
240	0.316223953
241	0.3160216688
